category,line,selector,tokens,hits
"still-used","11656",".process-flow-view","process-flow-view","frontend-angular/src/app/workbenches/process/editor/process-editor-workbench.component.scss; frontend-angular/src/app/workbenches/process/editor/process-editor-workbench.component.ts; frontend-angular/src/app/workbenches/process/flow/process-flow-workbench.component.html"
"still-used","11662",".process-flow-frame","process-flow-frame","frontend-angular/src/app/workbenches/process/flow/process-flow-workbench.component.html"
"still-used","11668",".process-flow-topbar","process-flow-topbar","frontend-angular/src/app/workbenches/process/flow/process-flow-workbench.component.html"
"still-used","11681",".stage-select, .process-select","stage-select process-select","frontend-angular/src/app/workbenches/process/flow/process-flow-workbench.component.html; frontend-angular/src/app/workbenches/process/stage/process-stage-workbench.component.html"
"still-used","11694",".select-field","select-field","frontend-angular/src/app/workbenches/process/flow/process-flow-workbench.component.html"
"still-used","11698",".process-attachment-drawer input[type=""file""]","process-attachment-drawer","frontend-angular/src/app/workbenches/process/flow/process-flow-workbench.component.html"
"still-used","11706",".process-flow-body","process-flow-body","frontend-angular/src/app/workbenches/process/flow/process-flow-workbench.component.html"
"still-used","11712",".attachment-add-button","attachment-add-button","frontend-angular/src/app/workbenches/process/flow/process-flow-workbench.component.html"
"still-used","11727",".compact-field","compact-field","frontend-angular/src/app/workbenches/process/flow/process-flow-workbench.component.html"
"still-used","11734",".compact-field span, .flow-inline-panel span","compact-field flow-inline-panel","frontend-angular/src/app/workbenches/process/flow/process-flow-workbench.component.html"
"still-used","11741",".compact-field input, .flow-inline-panel input, .flow-inline-panel select, .flow-edge-panel input, .flow-edge-panel select","compact-field flow-inline-panel flow-edge-panel","frontend-angular/src/app/workbenches/process/flow/process-flow-workbench.component.html"
"still-used","11756",".flow-inline-panel select[multiple]","flow-inline-panel","frontend-angular/src/app/workbenches/process/flow/process-flow-workbench.component.html"
"still-used","11757",".process-flow-canvas-shell","process-flow-canvas-shell","frontend-angular/src/app/workbenches/process/flow/process-flow-workbench.component.html"
"still-used","11770",".process-flow-canvas-shell::-webkit-scrollbar","process-flow-canvas-shell","frontend-angular/src/app/workbenches/process/flow/process-flow-workbench.component.html"
"still-used","11775",".process-flow-canvas-shell::-webkit-scrollbar-thumb","process-flow-canvas-shell","frontend-angular/src/app/workbenches/process/flow/process-flow-workbench.component.html"
"still-used","11780",".process-flow-canvas","process-flow-canvas","frontend-angular/src/app/workbenches/process/flow/process-flow-workbench.component.html"
"still-used","11792",".process-flow-side-tools","process-flow-side-tools","frontend-angular/src/app/workbenches/process/flow/process-flow-workbench.component.html"
"still-used","11807",".process-flow-side-tools button","process-flow-side-tools","frontend-angular/src/app/workbenches/process/flow/process-flow-workbench.component.html"
"still-used","11823",".process-flow-side-tools button span","process-flow-side-tools","frontend-angular/src/app/workbenches/process/flow/process-flow-workbench.component.html"
"still-used","11831",".tool-file-icon","tool-file-icon","frontend-angular/src/app/workbenches/process/flow/process-flow-workbench.component.html"
"still-used","11840",".tool-file-icon::before","tool-file-icon","frontend-angular/src/app/workbenches/process/flow/process-flow-workbench.component.html"
"still-used","11853",".process-flow-side-tools .danger","process-flow-side-tools danger","frontend-angular/src/app/core/shell/history/history-dialog.component.html; frontend-angular/src/app/core/shell/history/history-dialog.component.scss; frontend-angular/src/app/legacy-shell/legacy-shell.component.html"
"still-used","11857",".flow-lane","flow-lane","frontend-angular/src/app/workbenches/process/flow/process-flow-workbench.component.html"
"still-used","11865",".flow-lane-title","flow-lane-title","frontend-angular/src/app/workbenches/process/flow/process-flow-workbench.component.html"
"still-used","11882",".flow-lane-title::before","flow-lane-title","frontend-angular/src/app/workbenches/process/flow/process-flow-workbench.component.html"
"still-used","11894",".shared-badge","shared-badge","frontend-angular/src/app/workbenches/process/flow/process-flow-workbench.component.html"
"still-used","11909",".flow-edges","flow-edges","frontend-angular/src/app/workbenches/process/flow/process-flow-workbench.component.html"
"still-used","11915",".flow-edge","flow-edge","frontend-angular/src/app/workbenches/process/editor/process-editor-workbench.component.scss; frontend-angular/src/app/workbenches/process/flow/process-flow-workbench.component.html; frontend-angular/src/app/workbenches/process/shell/process-workbench-shell.component.scss"
"still-used","11923",".flow-edge-hit","flow-edge-hit","frontend-angular/src/app/workbenches/process/flow/process-flow-workbench.component.html"
"still-used","11925",".flow-edge.preview","flow-edge preview","frontend-angular/src/app/app.routes.ts; frontend-angular/src/app/core/runtime/angular-runtime.ts; frontend-angular/src/app/core/shell/routing/main-workbench-route.ts"
"still-used","11926",".flow-edge.active","flow-edge active","frontend-angular/src/app/app.spec.ts; frontend-angular/src/app/core/shell/history/history-dialog.component.html; frontend-angular/src/app/core/shell/history/history-dialog.component.scss"
"still-used","11931",".flow-edges marker path","flow-edges","frontend-angular/src/app/workbenches/process/flow/process-flow-workbench.component.html"
"still-used","11935",".flow-edge-label","flow-edge-label","frontend-angular/src/app/workbenches/process/flow/process-flow-workbench.component.html"
"still-used","11940",".flow-node, .flow-gateway, .flow-terminal","flow-node flow-gateway flow-terminal","frontend-angular/src/app/workbenches/process/flow/process-flow-workbench.component.html; frontend-angular/src/app/workbenches/process/stage/process-stage-workbench.component.html; frontend-angular/src/app/workbenches/process/stage/process-stage-workbench.component.scss"
"still-used","11950",".flow-connect-box","flow-connect-box","frontend-angular/src/app/workbenches/process/flow/process-flow-workbench.component.html"
"still-used","11952",".connect-anchor","connect-anchor","frontend-angular/src/app/workbenches/process/flow/process-flow-workbench.component.html"
